;1996;2000;2003;2006;2008;2010;2012;2015;2017
GM0333;('146', '74');('140', '73');('136', '87');('140', '92');('148', '93');('155', '93');('', '');('', '')
GM0334;('83', '5');('83', '8');('', '');('', '');('', '');('', '');('', '');('', '')
GM0933;('107', '8');('94', '8');('97', '7');('94', '6');('', '');('', '');('', '');('', '')
GM0934;('172', '4');('174', '4');('176', '5');('175', '5');('177', '5');('', '');('', '');('', '')
GM1671;('105', '2');('106', '2');('108', '0');('127', '0');('136', '0');('135', '0');('132', '0');('', '')
GM0555;('88', '3');('96', '3');('95', '3');('', '');('', '');('', '');('', '');('', '')
GM1665;('', '');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0812;('79', '10');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0936;('141', '0');('145', '0');('148', '0');('149', '0');('149', '0');('150', '0');('', '');('', '')
GM0686;('107', '1');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0169;('279', '0');('280', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM1663;('319', '34');('319', '34');('329', '36');('344', '36');('320', '35');('316', '29');('295', '32');('291', '34')
GM0025;('220', '0');('216', '0');('215', '5');('215', '6');('212', '6');('220', '6');('219', '6');('219', '6')
GM0264;('104', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0993;('80', '0');('82', '0');('81', '0');('82', '0');('83', '0');('', '');('', '');('', '')
GM0941;('65', '6');('65', '6');('69', '6');('69', '6');('71', '6');('', '');('', '');('', '')
GM0083;('248', '7');('254', '8');('250', '17');('251', '20');('248', '20');('269', '24');('', '');('', '')
GM1908;('', '');('', '');('', '');('', '');('', '');('', '');('262', '25');('251', '23')
GM1987;('221', '33');('222', '43');('235', '44');('236', '38');('237', '38');('241', '37');('237', '37');('237', '37')
GM0559;('219', '16');('221', '17');('225', '31');('226', '31');('229', '29');('220', '33');('211', '32');('', '')
GM1842;('', '');('', '');('', '');('177', '15');('181', '15');('180', '15');('181', '19');('177', '20')
GM1731;('', '');('809', '28');('828', '35');('820', '37');('812', '44');('824', '41');('824', '40');('832', '44')
GM0688;('178', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1697;('', '');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0814;('54', '4');('56', '4');('57', '4');('', '');('', '');('', '');('', '');('', '')
GM0815;('125', '3');('123', '3');('125', '3');('130', '3');('130', '3');('128', '3');('128', '3');('130', '3')
GM0265;('15', '0');('15', '1');('16', '4');('17', '7');('17', '8');('16', '8');('16', '8');('', '')
GM0816;('67', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1927;('', '');('', '');('', '');('', '');('', '');('', '');('', '');('273', '18')
GM0562;('54', '0');('55', '0');('51', '0');('', '');('', '');('', '');('', '');('', '')
GM0563;('60', '3');('59', '3');('59', '4');('58', '4');('60', '3');('', '');('', '');('', '')
GM0424;('116', '11');('114', '11');('120', '10');('117', '10');('119', '12');('119', '12');('120', '15');('111', '15')
GM0565;('132', '5');('146', '5');('143', '4');('', '');('', '');('', '');('', '');('', '')
GM0425;('118', '57');('114', '59');('112', '56');('118', '54');('122', '53');('121', '60');('119', '59');('118', '59')
GM1740;('', '');('', '');('', '');('342', '12');('350', '10');('339', '14');('335', '14');('324', '14')
GM0426;('29', '0');('29', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0643;('78', '18');('71', '18');('65', '28');('70', '27');('66', '27');('70', '22');('87', '22');('', '')
GM0266;('106', '16');('107', '17');('107', '14');('', '');('', '');('', '');('', '');('', '')
GM0304;('227', '10');('227', '10');('230', '11');('232', '7');('235', '8');('225', '0');('221', '0');('217', '0')
GM0412;('192', '11');('188', '6');('186', '19');('190', '19');('194', '20');('192', '22');('', '');('', '')
GM0567;('108', '36');('106', '31');('105', '34');('101', '32');('105', '37');('', '');('', '');('', '')
